joint_pos, joint_vel_desired, joint_vel_filtered, current_time
0.380864,0.00257806,1.25875e-14,1.984
0.380864,0.00258809,6.99866e-15,1.988
0.380864,0.00259814,3.89125e-15,1.992
0.380864,0.00260821,2.16354e-15,1.996
0.380864,0.0026183,1.20293e-15,2
0.380864,0.0026284,6.68827e-16,2.004
0.380864,0.00263853,3.71868e-16,2.008
0.380864,0.00264867,2.06759e-16,2.012
0.380864,0.00265883,1.14958e-16,2.016
0.380864,0.002669,6.39165e-17,2.02
0.380864,0.0026792,3.55376e-17,2.024
0.380864,0.00268941,1.97589e-17,2.028
0.380864,0.00269964,1.09859e-17,2.032
0.380864,0.00270989,6.10819e-18,2.036
0.380864,0.00272016,3.39615e-18,2.04
0.380864,0.00273044,1.88826e-18,2.044
0.380864,0.00274074,1.04987e-18,2.048
0.380864,0.00275106,5.83729e-19,2.052
0.380864,0.0027614,3.24554e-19,2.056
0.380864,0.00277175,1.80452e-19,2.06
0.380864,0.00278213,1.00331e-19,2.064
0.380864,0.00279252,5.57841e-20,2.068
0.380864,0.00280293,3.1016e-20,2.072
0.380864,0.00281335,1.72449e-20,2.076
0.380864,0.0028238,9.58816e-21,2.08
0.380864,0.00283426,5.33101e-21,2.084
0.380864,0.00284474,2.96404e-21,2.088
0.380864,0.00285524,1.64801e-21,2.092
0.380864,0.00286575,9.16293e-22,2.096
0.380864,0.00287628,5.09459e-22,2.1
0.380864,0.00288683,2.83259e-22,2.104
0.380864,0.0028974,1.57492e-22,2.108
0.380864,0.00290799,8.75656e-23,2.112
0.380864,0.00291859,4.86865e-23,2.116
0.380864,0.00292921,2.70697e-23,2.12
0.380864,0.00293985,1.50507e-23,2.124
0.380864,0.00295051,8.36821e-24,2.128
0.380864,0.00296118,4.65272e-24,2.132
0.380864,0.00297187,2.58692e-24,2.136
0.380864,0.00298258,1.43832e-24,2.14
0.380864,0.00299331,7.99709e-25,2.144
0.380864,0.00300405,4.44638e-25,2.148
0.380864,0.00301482,2.47219e-25,2.152
0.380864,0.0030256,1.37454e-25,2.156
0.380864,0.00303639,7.64242e-26,2.16
0.380864,0.00304721,4.24919e-26,2.164
0.380864,0.00305804,2.36255e-26,2.168
0.380864,0.00306889,1.31358e-26,2.172
0.380864,0.00307976,7.30348e-27,2.176
0.380864,0.00309064,4.06074e-27,2.18
0.380864,0.00310155,2.25777e-27,2.184
0.380864,0.00311247,1.25532e-27,2.188
0.380864,0.00312341,6.97958e-28,2.192
0.380864,0.00313436,3.88065e-28,2.196
0.380864,0.00314533,2.15764e-28,2.2
0.380864,0.00315632,1.19965e-28,2.204
0.380864,0.00316733,6.67004e-29,2.208
0.380864,0.00317836,3.70854e-29,2.212
0.380864,0.0031894,2.06195e-29,2.216
0.380864,0.00320046,1.14644e-29,2.22
0.380864,0.00321154,6.37423e-30,2.224
0.380864,0.00322263,3.54407e-30,2.228
0.380864,0.00323374,1.9705e-30,2.232
0.380864,0.00324487,1.0956e-30,2.236
0.380864,0.00325602,6.09154e-31,2.24
0.380864,0.00326718,3.38689e-31,2.244
0.380864,0.00327837,1.88311e-31,2.248
0.380864,0.00328957,1.04701e-31,2.252
0.380864,0.00330078,5.82138e-32,2.256
0.380864,0.00331202,3.23669e-32,2.26
0.380864,0.00332327,1.7996e-32,2.264
0.380864,0.00333454,1.00058e-32,2.268
0.380864,0.00334582,5.56321e-33,2.272
0.380864,0.00335712,3.09314e-33,2.276
0.380864,0.00336845,1.71979e-33,2.28
0.380864,0.00337978,9.56202e-34,2.284
0.380864,0.00339114,5.31648e-34,2.288
0.380864,0.00340251,2.95596e-34,2.292
0.380864,0.0034139,1.64352e-34,2.296
0.380864,0.00342531,9.13795e-35,2.3
0.380864,0.00343673,5.0807e-35,2.304
0.380864,0.00344817,2.82487e-35,2.308
0.380864,0.00345963,1.57063e-35,2.312
0.380864,0.00347111,8.73268e-36,2.316
0.380864,0.0034826,4.85537e-36,2.32
0.380864,0.00349411,2.69959e-36,2.324
0.380864,0.00350564,1.50097e-36,2.328
0.380864,0.00351718,8.3454e-37,2.332
0.380864,0.00352875,4.64004e-37,2.336
0.380864,0.00354032,2.57986e-37,2.34
0.380864,0.00355192,1.4344e-37,2.344
0.380864,0.00356353,7.97528e-38,2.348
0.380864,0.00357516,4.43426e-38,2.352
0.380864,0.00358681,2.46545e-38,2.356
0.380864,0.00359848,1.37079e-38,2.36
